Class,Age,Sex,Survived
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,1
First,Adult,Female,0
First,Adult,Female,0
First,Adult,Female,0
First,Adult,Female,0
First,Child,Male,1
First,Child,Male,1
First,Child,Male,1
First,Child,Male,1
First,Child,Male,1
First,Child,Female,1
Second,Adult,Male,1
Second,Adult,Male,1
Second,Adult,Male,1
Second,Adult,Male,1
Second,Adult,Male,1
Second,Adult,Male,1
Second,Adult,Male,1
Second,Adult,Male,1
Second,Adult,Male,1
Second,Adult,Male,1
Second,Adult,Male,1
Second,Adult,Male,1
Second,Adult,Male,1
Second,Adult,Male,1
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Male,0
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,1
Second,Adult,Female,0
Second,Adult,Female,0
Second,Adult,Female,0
Second,Adult,Female,0
Second,Adult,Female,0
Second,Adult,Female,0
Second,Adult,Female,0
Second,Adult,Female,0
Second,Adult,Female,0
Second,Adult,Female,0
Second,Adult,Female,0
Second,Adult,Female,0
Second,Adult,Female,0
Second,Child,Male,1
Second,Child,Male,1
Second,Child,Male,1
Second,Child,Male,1
Second,Child,Male,1
Second,Child,Male,1
Second,Child,Male,1
Second,Child,Male,1
Second,Child,Male,1
Second,Child,Male,1
Second,Child,Male,1
Second,Child,Female,1
Second,Child,Female,1
Second,Child,Female,1
Second,Child,Female,1
Second,Child,Female,1
Second,Child,Female,1
Second,Child,Female,1
Second,Child,Female,1
Second,Child,Female,1
Second,Child,Female,1
Second,Child,Female,1
Second,Child,Female,1
Second,Child,Female,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,1
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Male,0
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,1
Third,Adult,Female,0
Third,Adult,Female,0
Third,Adult,Female,0
Third,Adult,Female,0
Third,Adult,Female,0
Third,Adult,Female,0
Third,Adult,Female,0
Third,Adult,Female,0
Third,Adult,Female,0
Third,Adult,Female,0
Third,Adult,Female,0
Third,Adult,Female,0
Third,Adult,Female,0
Third,Adult,Female,0
Third,Adult,Female,0
Third,Adult,Female,0
Third,Adult,Female,0
Third,Adult,Female,0
Third,Adult,Female,0
Third,Adult,Female,0
Third,Adult,Female,0
Third,Adult,Female,0
Third,Adult,Female,0
Third,Adult,Female,0
Third,Adult,Female,0
Third,Adult,Female,0
Third,Adult,Female,0
Third,Adult,Female,0
Third,Adult,Female,0
Third,Adult,Female,0
Third,Adult,Female,0
Third,Adult,Female,0
Third,Adult,Female,0
Third,Adult,Female,0
Third,Adult,Female,0
Third,Adult,Female,0
Third,Adult,Female,0
Third,Adult,Female,0
Third,Adult,Female,0
Third,Adult,Female,0
Third,Adult,Female,0
Third,Adult,Female,0
Third,Adult,Female,0
Third,Adult,Female,0
Third,Adult,Female,0
